input	method	replicate	time_cpu	time_elapsed	max_rss
compress	exact	rep1	334593.446	22249.894	31208185856
compress	exact	rep2	332485.625	22114.711	31568150528
compress	randomized	rep1	169044.86800000002	11621.943	31453380608
compress	randomized	rep2	169604.54099999997	11653.559	31869464576
uncompress	exact	rep1	203206.037	33377	31348436992
uncompress	exact	rep2	207218.617	32260.643000000004	31133986816
uncompress	randomized	rep1	168971.538	11609.183	31396040704
uncompress	randomized	rep2	168654.564	11590.546	31533264896
